State,Year,first male,first prop male,first pop male,first female,first prop female,first pop female,second male,second prop male,second pop male,second female,second prop female,second pop female,third male,third prop male,third pop male,third female,third prop female,third pop female
Australia,2017,82005.22,1.36,6051114.00,98939.82,1.60,6167242.00,345654.40,14.25,2425378.16,250308.19,9.79,2556545.79,213172.24,32.05,665104.84,160085.59,20.27,789715.21
New South Wales,2017,20448.00,1.10,1940515.00,25085.99,1.27,1970003.00,111897.76,14.39,777657.63,66987.25,8.03,834196.73,77702.33,33.27,233566.37,53654.42,20.42,262804.27
Victoria,2017,25482.00,1.60,1622584.00,30002.00,1.82,1648376.00,94694.91,15.72,602362.77,69136.82,10.45,661290.69,63998.78,37.31,171538.23,32288.04,17.23,187390.31
Queensland,2017,15324.00,1.30,1179321.00,15679.00,1.28,1224661.00,65385.29,13.45,486100.87,60538.09,12.27,493581.79,38737.96,29.91,129496.13,31212.03,19.25,162151.21
South Australia,2017,"7,806*",1.90,403779.00,12087.00,2.96,408025.00,23940.77,12.60,189981.44,22258.42,11.00,202367.51,10888.82,21.10,51607.56,13928.29,21.88,63666.49
Western Australia,2017,7953.00,1.30,631933.00,9496.00,1.49,638586.00,34675.42,13.71,253003.19,20500.00,8.38,244673.86,13775.46,26.40,52116.81,22375.63,27.33,81878.14
Tasmania,2017,2359.00,2.00,115116.00,3646.00,3.10,117723.00,9937.14,15.32,64858.49,5919.45,8.59,68881.49,5552.00,32.50,17086.00,4185.92,22.84,18327.51
Northern Territory,2017,616.00,1.20,50052.00,536.00,1.10,49754.00,1159.00,7.03,16496.50,1167.00,8.14,14339.67,451.00,22.60,1996.00,295.00,14.50,2031.00
Australian Capital Territory,2017,2017.00,1.90,107814.00,2737.00,2.47,110702.00,3964.00,11.35,34917.27,3800.74,10.21,37214.04,2630.00,31.20,8431.00,2029.00,19.50,10408.00
Australia,2011,302937.84,5.83,5194261.40,338336.00,6.45,5244573.79,324389.57,16.35,1984480.72,223261.32,11.08,2015363.71,240633.00,45.03,534342.67,282930.92,44.05,642226.46
New South Wales,2011,93991.00,5.54,1695125.07,97412.91,5.59,1744047.85,130791.12,20.22,646705.91,64994.19,9.75,666653.50,75775.28,40.60,186752.51,117935.08,50.50,233520.57
Victoria,2011,74819.00,5.73,1304985.54,96784.00,7.30,1325009.55,71512.52,14.48,493946.46,62227.05,12.34,504339.73,62294.25,46.80,132983.46,61461.24,40.20,152976.50
Queensland,2011,73019.30,7.03,1038254.13,81146.48,7.80,1040631.20,59794.32,15.12,395480.50,48757.86,12.41,392798.86,42934.20,44.00,97660.77,42113.91,36.60,114993.78
South Australia,2011,5023.00,1.41,355782.93,18628.56,5.35,347945.18,19318.46,12.57,153714.40,14866.63,9.32,159577.85,21406.72,47.90,44661.34,21877.91,37.40,58451.61
Western Australia,2011,48157.15,8.89,541605.28,27856.00,5.20,535110.59,29273.63,14.66,199650.34,21349.67,11.04,193330.24,26104.86,52.50,49731.57,26158.42,46.30,56514.02
Tasmania,2011,6670.00,5.70,117200.00,6924.15,6.41,108083.59,8289.05,15.73,52687.88,6180.24,11.29,54757.86,5930.00,42.30,14002.00,8331.00,47.70,17457.00
Northern Territory,2011,2707.00,5.60,48003.00,4320.00,9.60,44810.93,1849.00,13.10,14095.00,1332.00,11.00,12039.00,627.00,41.90,1496.00,669.00,44.90,1490.00
Australian Capital Territory,2011,4120.00,4.10,100534.00,5264.23,5.30,98934.90,3400.59,11.85,28696.77,3889.02,12.48,31158.83,2217.00,33.70,6584.00,3006.00,35.90,8378.00
